,locations
181,安徽省滁州市开发区
182,安徽省芜湖市三山区
183,安徽省芜湖市市辖区
184,安徽省芜湖市无为县
185,安徽省芜湖市繁昌县
186,安徽省芜湖市经开区
187,安徽省芜湖市芜湖县
188,安徽省蚌埠市市辖区
189,安徽省蚌埠市经开区
190,安徽省蚌埠市经济开发区
191,安徽省蚌埠市高新区
192,安徽省铜陵市义安区
193,安徽省铜陵市市辖区
194,安徽省铜陵市经济开发区
195,安徽省铜陵市铜官区
196,安徽省阜阳市市辖区
197,安徽省阜阳市经开区
198,安徽省阜阳市阜合园区
199,安徽省马鞍山市博望区
200,安徽省马鞍山市市辖区
201,安徽省马鞍山市开发区
202,安徽省马鞍山市慈湖高新区
203,安徽省马鞍山市示范园区
204,安徽省马鞍山市郑蒲港新区
205,安徽省黄山市市辖区
206,山东省东营市东营港经济开发区
207,山东省东营市东营经济开发区
208,山东省东营市垦利区
209,山东省东营市市辖区
210,山东省东营市胜利油田
211,山东省临沂市临沂市经济区
212,山东省临沂市临沂市高新区
213,山东省临沂市临港区
214,山东省临沂市市辖区
215,山东省威海市临港经济技术开发区
216,山东省威海市市辖区
217,山东省威海市文登区
218,山东省威海市经技区
219,山东省威海市高技区
220,山东省德州市市辖区
221,山东省德州市德州市经济开发区
222,山东省德州市德州市运河经济开发区
223,山东省德州市经济技术开发区
224,山东省德州市运河经济开发区
225,山东省德州市陵城区
226,山东省日照市山海天旅游度假区
227,山东省日照市市辖区
228,山东省日照市日照国际海洋城
229,山东省日照市日照市开发区
230,山东省枣庄市市辖区
231,山东省枣庄市枣庄市高新区
232,山东省泰安市市辖区
233,山东省泰安市泰安市高新区
234,山东省泰安市泰山景区
235,山东省济南市市辖区
236,山东省济南市济南高新区
237,山东省济南市济阳县
238,山东省济南市章丘市
239,山东省济南市高新区
240,山东省济宁市兖州市
241,山东省济宁市市辖区
242,山东省济宁市济宁经济开发区
243,山东省济宁市济宁高新区
244,山东省淄博市市辖区
245,山东省淄博市淄博高新区
246,山东省滨州市北海经济开发区
247,山东省滨州市市辖区
248,山东省滨州市沾化县
249,山东省滨州市滨州市开发区
250,山东省滨州市滨州市高新区
251,山东省滨州市滨州经济技术开发区
252,山东省滨州市邹平县
253,山东省潍坊市峡山区
254,山东省潍坊市市辖区
255,山东省潍坊市潍坊市滨海区
256,山东省潍坊市潍坊市综合保税区
257,山东省潍坊市潍坊市高新开发区
258,山东省烟台市市辖区
259,山东省烟台市烟台开发区
260,山东省烟台市烟台高新区
261,山东省烟台市经济技术开发区
262,山东省烟台市蓬莱市
263,山东省烟台市长岛县
264,山东省聊城市市辖区
265,山东省聊城市江北水城旅游度假区
266,山东省聊城市聊城经济技术开发区
267,山东省聊城市聊城高新技术产业开发区
268,山东省聊城市茌平县
269,山东省莱芜市市辖区
270,山东省莱芜市莱城区
271,山东省莱芜市莱芜农高区
272,山东省莱芜市钢城区
273,山东省莱芜市雪野旅游区
274,山东省菏泽市定陶区
275,山东省菏泽市市辖区
276,山东省菏泽市菏泽市开发区
277,山东省菏泽市菏泽高新技术产业开发区
278,山东省青岛市即墨市
279,山东省青岛市市北区
280,山东省青岛市市辖区
281,山西省临汾市市辖区
282,山西省吕梁市市辖区
283,山西省大同市南郊区
284,山西省大同市城区
285,山西省大同市大同县
286,山西省大同市市辖区
287,山西省大同市矿区
288,山西省太原市市辖区
289,山西省忻州市市辖区
290,山西省晋中市太谷县
291,山西省晋中市市辖区
292,山西省晋城市市辖区
293,山西省朔州市市辖区
294,山西省朔州市怀仁县
295,山西省运城市市辖区
296,山西省长治市城区
297,山西省长治市屯留县
298,山西省长治市市辖区
299,山西省长治市潞城市
300,山西省长治市郊区
301,山西省长治市长治县
302,山西省阳泉市市辖区
303,广东省东莞市市直辖乡
304,广东省中山市市直辖乡
305,广东省云浮市市辖区
306,广东省佛山市市辖区
307,广东省广州市市辖区
308,广东省惠州市仲恺高新技术产业开发
309,广东省惠州市仲恺高新技术产业开发区
310,广东省惠州市大亚湾经济技术开发区
311,广东省惠州市市辖区
312,广东省揭阳市大南山华侨管理区
313,广东省揭阳市市辖区
314,广东省揭阳市揭阳产业转移工业园
315,广东省揭阳市普宁华侨管理区
316,广东省揭阳市空港经济区
317,广东省梅州市市辖区
318,广东省梅州市梅县区
319,广东省汕头市市辖区
320,广东省汕尾市华侨管理区
321,广东省汕尾市市辖区
322,广东省汕尾市红海湾开发区
323,广东省江门市市辖区
324,广东省河源市市辖区
325,广东省深圳市光明新区
326,广东省深圳市坪山新区
327,广东省深圳市大鹏新区
328,广东省深圳市市辖区
329,广东省清远市市辖区
330,广东省湛江市南三岛旅游区
331,广东省湛江市市辖区
332,广东省湛江市经济技术开发区
333,广东省潮州市市辖区
334,广东省潮州市枫溪区
335,广东省珠海市万山海洋开发试验区
336,广东省珠海市市辖区
337,广东省珠海市横琴经济开发区
338,广东省珠海市高新技术产业开发区
339,广东省珠海市高栏港经济区
340,广东省肇庆市市辖区
341,广东省肇庆市高要市
342,广东省茂名市市辖区
343,广东省茂名市滨海新区
344,广东省茂名市高新区
345,广东省阳江市市辖区
346,广东省韶关市市辖区
347,广西壮族自治区南宁市市辖区
348,广西壮族自治区南宁市武鸣区
349,广西壮族自治区崇左市市辖区
350,广西壮族自治区来宾市市辖区
351,广西壮族自治区柳州市市辖区
352,广西壮族自治区柳州市柳江县
353,广西壮族自治区柳州市融水县
354,广西壮族自治区桂林市市辖区
355,广西壮族自治区桂林市荔浦县
356,广西壮族自治区梧州市市辖区
357,广西壮族自治区河池市宜州市
358,广西壮族自治区河池市市辖区
359,广西壮族自治区玉林市市辖区
360,广西壮族自治区百色市市辖区
361,广西壮族自治区百色市平果县
362,广西壮族自治区百色市田阳县
363,广西壮族自治区百色市靖西市
364,广西壮族自治区贵港市市辖区
365,广西壮族自治区贺州市市辖区
366,广西壮族自治区贺州市平桂区
367,广西壮族自治区钦州市市辖区
368,广西壮族自治区防城港市市辖区
369,新疆兵团第一师一团
370,新疆兵团第一师七团
371,新疆兵团第一师三团
372,新疆兵团第一师二团
373,新疆兵团第一师五团
374,新疆兵团第一师八团
375,新疆兵团第一师六团
376,新疆兵团第一师农一师医院
377,新疆兵团第一师十一团
378,新疆兵团第一师十三团
379,新疆兵团第一师十二团
380,新疆兵团第一师十六团
381,新疆兵团第一师四团
382,新疆兵团第一师幸福农场
383,新疆兵团第一师西工业园区
384,新疆兵团第一师阿克苏单位
385,新疆兵团第一师阿拉尔农场
386,新疆兵团第一师阿拉尔市直单位
387,新疆兵团第七师一三一团
388,新疆兵团第七师一二七团
389,新疆兵团第七师一二三团
390,新疆兵团第七师一二九团
391,新疆兵团第七师一二五团
392,新疆兵团第七师一二八团
393,新疆兵团第七师一二六团
394,新疆兵团第三师五十一团
395,新疆兵团第三师五十三团
396,新疆兵团第三师五十团
397,新疆兵团第三师四十九团
398,新疆兵团第三师图市市直单位
399,新疆兵团第九师一六一团
400,新疆兵团第九师一六八团
401,新疆兵团第九师一六六团
402,新疆兵团第九师师直单位
403,新疆兵团第二师三十一团
404,新疆兵团第二师三十三团
405,新疆兵团第二师三十六团
406,新疆兵团第二师三十四团
407,新疆兵团第二师三十团
408,新疆兵团第二师二十一团
409,新疆兵团第二师二十七团
410,新疆兵团第二师二十三团
411,新疆兵团第二师二十九团
412,新疆兵团第二师二十二团
413,新疆兵团第二师二十五团
414,新疆兵团第二师二十八团
415,新疆兵团第二师二十四团
416,新疆兵团第二师师直单位
417,新疆兵团第五师九十团
418,新疆兵团第五师八十一团
419,新疆兵团第五师八十三团
420,新疆兵团第五师八十九团
421,新疆兵团第五师八十八团
422,新疆兵团第五师八十六团
423,新疆兵团第八师一三三团
424,新疆兵团第八师一三六团
425,新疆兵团第八师一二一团
426,新疆兵团第八师一五二团
427,新疆兵团第八师一五零团
428,新疆兵团第八师一四一团
429,新疆兵团第八师一四七团
430,新疆兵团第八师一四三团
431,新疆兵团第八师一四二团
432,新疆兵团第八师一四八团
433,新疆兵团第八师一四四团
434,新疆兵团第八师东城办
435,新疆兵团第八师向阳办
436,新疆兵团第八师新城办
437,新疆兵团第八师玛管处
438,新疆兵团第八师石总场
439,新疆兵团第八师石河子乡
440,新疆兵团第八师红山办
441,新疆兵团第八师老街办
442,新疆兵团第六师五家渠市
443,新疆兵团第六师共青团农场
444,新疆兵团第六师军户农场
445,新疆兵团第六师新湖农场
446,新疆兵团第六师芳草湖农场
447,新疆兵团第十三师火箭农场
448,新疆兵团第十三师红山农场
449,新疆兵团第十二师一0四团
450,新疆兵团第十二师三坪农场
451,新疆兵团第十二师二二二团
452,新疆兵团第十二师五一农场
453,新疆兵团第十二师头屯河农场
454,新疆兵团第十师一八四团
455,新疆兵团第十师幸福社区
456,新疆兵团第四师伊犁青松南岗建材有限责任公司
457,新疆兵团第四师六十七团
458,新疆兵团第四师六十九团
459,新疆兵团第四师六十二团
460,新疆生产建设兵团十一师德坤建材公司
461,新疆生产建设兵团第一师11团
462,新疆生产建设兵团第一师13团
463,新疆生产建设兵团第一师16团
464,新疆生产建设兵团第一师1团
465,新疆生产建设兵团第一师3团
466,新疆生产建设兵团第一师5团
467,新疆生产建设兵团第一师8团
468,新疆生产建设兵团第一师西工业园区
469,新疆生产建设兵团第一师阿拉尔市直单位
470,新疆生产建设兵团第七师123团
471,新疆生产建设兵团第七师师直单位
472,新疆生产建设兵团第三师图木舒克市
473,新疆生产建设兵团第二师24团
474,新疆生产建设兵团第二师33团
475,新疆生产建设兵团第二师师直单位
476,新疆生产建设兵团第五师86团
477,新疆生产建设兵团第五师88团
478,新疆生产建设兵团第八师121团
479,新疆生产建设兵团第八师133团
480,新疆生产建设兵团第八师142团
481,新疆生产建设兵团第八师148团
482,新疆生产建设兵团第八师石总场
483,新疆生产建设兵团第八师石河子市
484,新疆生产建设兵团第六师101团
485,新疆生产建设兵团第六师五家渠市
486,新疆生产建设兵团第六师军户农场
487,新疆生产建设兵团第六师芳草湖农场
488,新疆生产建设兵团第十二师104团
489,新疆生产建设兵团第十二师222团
490,新疆生产建设兵团第十二师三坪农场
491,新疆生产建设兵团第十二师五一农场
492,新疆生产建设兵团第十二师头屯河农场
493,新疆生产建设兵团第十师184团
494,新疆生产建设兵团第四师69团
495,新疆维吾尔自治区乌鲁木齐市市辖区
496,新疆维吾尔自治区乌鲁木齐市高新区（新市区）
497,新疆维吾尔自治区伊犁哈萨克自治州都拉塔口岸
498,新疆维吾尔自治区克孜勒苏柯尔克孜自治阿图什市
499,新疆维吾尔自治区克拉玛依市市辖区
500,新疆维吾尔自治区博州博乐市
501,新疆维吾尔自治区博州精河县
502,新疆维吾尔自治区吐鲁番市托克逊县
503,新疆维吾尔自治区吐鲁番市高昌区
504,新疆维吾尔自治区哈密地区伊吾县
505,新疆维吾尔自治区哈密地区哈密市
506,新疆维吾尔自治区哈密地区巴里坤哈萨克自治县
507,新疆维吾尔自治区塔城地区和布克赛尔县
508,新疆维吾尔自治区昌吉回族自治州准东公司
509,新疆维吾尔自治区阿克苏地区库车县
510,江苏省南京市市辖区
511,江苏省南京市溧水区
512,江苏省南京市高淳区
513,江苏省南通市市辖区
514,江苏省南通市海安县
515,江苏省南通市海门市
516,江苏省南通市港闸区
517,江苏省南通市通州市
518,江苏省南通市通州湾江海联动开发区
519,江苏省宿迁市市辖区
520,江苏省宿迁市洋河新区
521,江苏省宿迁市湖滨新区
522,江苏省宿迁市经济技术开发区
523,江苏省宿迁市苏州宿迁工业园区
524,江苏省常州市市辖区
525,江苏省常州市金坛市
526,江苏省徐州市市辖区
527,江苏省徐州市徐州经济技术开发区
528,江苏省徐州市铜山县
529,江苏省扬州市市辖区
530,江苏省扬州市开发区
531,江苏省扬州市瘦西湖区
532,江苏省无锡市北塘区
533,江苏省无锡市南长区
534,江苏省无锡市崇安区
535,江苏省无锡市市辖区
536,江苏省无锡市新区
537,江苏省泰州市农业开发区
538,江苏省泰州市医药高新区
539,江苏省泰州市姜堰区
540,江苏省淮安市市辖区
541,江苏省淮安市洪泽县
542,江苏省淮安市淮安工业园区
543,江苏省淮安市淮安盐化新材料产业园区
544,江苏省淮安市淮安经济开发区
545,江苏省淮安市清河区
546,江苏省淮安市清浦区
547,江苏省盐城市城南新区
548,江苏省盐城市大丰市
549,江苏省盐城市市辖区
550,江苏省盐城市开发区
551,江苏省苏州市工业园区
552,江苏省苏州市市辖区
553,江苏省连云港市市辖区
554,江苏省连云港市徐圩新区
555,江苏省连云港市赣榆区
556,江苏省连云港市高新区
557,江苏省镇江市市辖区
558,江苏省镇江市新区
559,江西省上饶市三清山管委会
560,江西省上饶市上饶县
561,江西省上饶市上饶市经济开发区
562,江西省上饶市市辖区
563,江西省九江市九江县
564,江西省九江市共青城市
565,江西省九江市市辖区
566,江西省九江市庐山管理局
567,江西省九江市开发区
568,江西省九江市星子县
569,江西省南昌市市辖区
570,江西省南昌市新建县
571,江西省南昌市湾里区
572,江西省南昌市红谷滩新区
573,江西省南昌市经开区
574,江西省南昌市高新区
575,江西省吉安市井冈山经济技术开发区
576,江西省吉安市市辖区
577,江西省宜春市宜阳新区
578,江西省宜春市明月山温泉风景名胜区
579,江西省宜春市经开区
580,江西省宜春市经济开发区
581,江西省抚州市东乡区
582,江西省抚州市市辖区
583,江西省新余市仙女湖区
584,江西省新余市市辖区
585,江西省新余市高新开发区
586,江西省景德镇市市辖区
587,江西省景德镇市陶瓷工业园区
588,江西省萍乡市市辖区
589,江西省萍乡市萍乡市武功山管委会
590,江西省萍乡市萍乡开发区
591,江西省赣州市南康区
592,江西省赣州市市辖区
593,江西省赣州市赣县区
594,江西省赣州市赣州经济技术开发区
595,江西省鹰潭市余江县
596,江西省鹰潭市信江新区
597,江西省鹰潭市市辖区
598,江西省鹰潭市鹰潭工业园区
599,江西省鹰潭市龙虎山景区
600,河北省保定市保定国家高新技术产业开发区管理委员会
601,河北省保定市市辖区
602,河北省保定市白沟新城
603,河北省保定市白沟新城管委会
604,河北省唐山市市辖区
605,河北省唐山市汉沽管理区
606,河北省唐山市海港经济开发区
607,河北省唐山市滦县
608,河北省唐山市芦台经济技术开发区
609,河北省唐山市高新区
610,河北省唐山市高新技术开发区
611,河北省廊坊市市辖区
612,河北省廊坊市开发区
613,河北省张家口市万全区
614,河北省张家口市察北管理区
615,河北省张家口市崇礼区
616,河北省张家口市市辖区
617,河北省张家口市经开区
618,河北省张家口市经济开发区
619,河北省承德市市辖区
620,河北省承德市平泉县
621,河北省承德市高新技术开发区
622,河北省沧州市大港油田
623,河北省沧州市市辖区
624,河北省沧州市开发区
625,河北省沧州市港城开发区
626,河北省石家庄市市辖区
627,河北省石家庄市开发区
628,河北省石家庄市正定新区
629,河北省石家庄市高新区
630,河北省秦皇岛市北戴河新区
631,河北省秦皇岛市市辖区
632,河北省秦皇岛市秦皇岛开发区
633,河北省衡水市冀州市
634,河北省衡水市市辖区
635,河北省衡水市滨湖新区
636,河北省邢台市大曹庄管理区
637,河北省邢台市市辖区
638,河北省邢台市桥东区
639,河北省邢台市桥西区
640,河北省邢台市高开区
641,河北省邯郸市冀南新区
642,河北省邯郸市市辖区
643,河北省邯郸市永年县
644,河北省邯郸市肥乡县
645,河北省邯郸市邯郸县
646,河北省邯郸市邯郸经济开发区
647,河北省邯郸市马头生态工业城
648,河南省三门峡市市辖区
649,河南省三门峡市陕州区
650,河南省信阳市上天梯非金属矿管理区
651,河南省信阳市市辖区
652,河南省信阳市明港镇
653,河南省信阳市羊山新区
654,河南省信阳市鸡公山管理区
655,河南省南阳市南阳新区
656,河南省南阳市城乡一体化示范区
657,河南省南阳市官庄工区
658,河南省南阳市市辖区
659,河南省南阳市高新区
660,河南省南阳市鸭河工区
661,河南省周口市市辖区
662,河南省周口市淮阳县
663,河南省周口市港口物流产业集聚区
664,河南省周口市经济技术开发区管委会
665,河南省商丘市市辖区
666,河南省安阳市安阳新区
667,河南省安阳市市辖区
668,河南省安阳市开发区
669,河南省平顶山市市辖区
670,河南省平顶山市新城区
671,河南省开封市市辖区
672,河南省开封市开封新区
673,河南省开封市新区
674,河南省开封市祥符区
675,河南省新乡市市辖区
676,河南省新乡市平原新区
677,河南省新乡市经济技术开发区
678,河南省新乡市西工区
679,河南省新乡市长垣县
680,河南省新乡市高新区
681,河南省洛阳市伊洛工业园区
682,河南省洛阳市市辖区
683,河南省洛阳市高新区
684,河南省洛阳市龙门文化旅游园区
685,河南省济源市济源市
686,河南省漯河市市辖区
687,河南省漯河市西城区
688,河南省濮阳市中原油田
689,河南省濮阳市工业园区
690,河南省濮阳市市辖区
691,河南省濮阳市高新区
692,河南省焦作市市辖区
693,河南省焦作市焦作市城乡一体化示范区
694,河南省许昌市东城区
695,河南省许昌市市辖区
696,河南省许昌市许昌县
697,河南省郑州市市辖区
698,河南省郑州市开发区
699,河南省郑州市航空港区
700,河南省郑州市航空港实验区
701,河南省郑州市郑东新区
702,河南省郑州市高新区
703,河南省驻马店市市辖区
704,河南省鹤壁市市辖区
705,河南省鹤壁市开发区
706,浙江省丽水市市辖区
707,浙江省台州市市辖区
708,浙江省台州市玉环县
709,浙江省嘉兴市市辖区
710,浙江省嘉兴市经济开发区
711,浙江省宁波市大榭开发区
712,浙江省宁波市奉化市
713,浙江省宁波市宁波国家高新技术开发区
714,浙江省宁波市市辖区
715,浙江省宁波市江东区
716,浙江省杭州市临安市
717,浙江省杭州市市辖区
718,浙江省温州市市辖区
719,浙江省湖州市市辖区
720,浙江省绍兴市市辖区
721,浙江省绍兴市开发区
722,浙江省舟山市市辖区
723,浙江省衢州市市辖区
724,浙江省金华市市辖区
725,浙江省金华市开发区
726,海南省三亚市市辖区
727,海南省儋州市市直管
728,海南省儋州市市辖乡
729,海南省海口市市辖区
730,海南省省直辖万宁市
731,海南省省直辖东方市
732,海南省省直辖乐东黎族自治县
733,海南省省直辖五指山市
734,海南省省直辖保亭黎族苗族自治县
735,海南省省直辖区（虚拟编码）洋浦经济开发区
736,海南省省直辖屯昌县
737,海南省省直辖文昌市
738,海南省省直辖昌江黎族自治县
739,海南省省直辖洋浦经济开发区
740,海南省省直辖澄迈县
741,海南省省直辖琼中黎族苗族自治县
742,海南省省直辖琼海市
743,海南省省直辖陵水黎族自治县
744,湖北省仙桃市仙桃市
745,湖北省十堰市十堰经济开发区
746,湖北省十堰市市辖区
747,湖北省十堰市武当山特区
748,湖北省十堰市经济技术开发区
749,湖北省咸宁市市辖区
750,湖北省天门市天门市
751,湖北省孝感市临空经济区
752,湖北省孝感市市辖区
753,湖北省孝感市高新区
754,湖北省宜昌市宜昌高新区
755,湖北省宜昌市市辖区
756,湖北省宜昌市高新区
757,湖北省恩施州巴东县
758,湖北省恩施州恩施市
759,湖北省恩施州鹤峰县
760,湖北省武汉市东湖新技术开发区
761,湖北省武汉市东湖生态旅游风景区
762,湖北省武汉市东湖高新区
763,湖北省武汉市市辖区
764,湖北省武汉市武汉经济技术开发区（
765,湖北省荆州市市辖区
766,湖北省荆州市纪南生态文化旅游区
767,湖北省荆州市荆州经济开发区
768,湖北省荆门市京山县
769,湖北省荆门市屈家岭管理区
770,湖北省荆门市市辖区
771,湖北省荆门市漳河新区
772,湖北省襄阳市市辖区
773,湖北省襄阳市襄阳经济技术开发区
774,湖北省襄阳市高新区
775,湖北省鄂州市市辖区
776,湖北省随州市大洪山风景区
777,湖北省随州市市辖区
778,湖北省随州市曾都区
779,湖北省黄冈市市辖区
780,湖北省黄冈市黄冈经济开发区
781,湖北省黄冈市龙感湖
782,湖北省黄石市市辖区
783,湖北省黄石市经济开发区
784,湖南省娄底市市辖区
785,湖南省岳阳市屈原管理区
786,湖南省岳阳市市辖区
787,湖南省常德市市辖区
788,湖南省常德市西洞庭管理区
789,湖南省常德市西湖管理区
790,湖南省张家界市市辖区
791,湖南省怀化市市辖区
792,湖南省怀化市洪江区
793,湖南省株洲市市辖区
794,湖南省株洲市株洲县
795,湖南省永州市市辖区
796,湖南省永州市金洞区
797,湖南省湘潭市市辖区
798,湖南省湘西州凤凰县
799,湖南省湘西州吉首市
800,湖南省湘西州花垣县
801,湖南省湘西州龙山县
802,湖南省益阳市大通湖区
803,湖南省益阳市市辖区
804,湖南省衡阳市市辖区
805,湖南省邵阳市市辖区
806,湖南省邵阳市邵东县
807,湖南省郴州市市辖区
808,湖南省长沙市宁乡县
809,湖南省长沙市市辖区
810,澳门nullnull
811,甘肃省临夏州临夏市
812,甘肃省临夏州积石山县
813,甘肃省兰州市兰州新区
814,甘肃省兰州市市辖区
815,甘肃省嘉峪关市市辖区
816,甘肃省嘉峪关市镜铁区
817,甘肃省嘉峪关市长城区
818,甘肃省嘉峪关市雄关区
819,甘肃省天水市市辖区
820,甘肃省定西市市辖区
821,甘肃省平凉市华亭县
822,甘肃省平凉市工业园区
823,甘肃省平凉市市辖区
824,甘肃省庆阳市市辖区
825,甘肃省张掖市市辖区
826,甘肃省武威市天祝县
827,甘肃省武威市市辖区
828,甘肃省白银市市辖区
829,甘肃省酒泉市市辖区
830,甘肃省酒泉市肃北县
831,甘肃省金昌市市辖区
832,甘肃省陇南市市辖区
833,福建省三明市市辖区
834,福建省南平市市辖区
835,福建省厦门市市辖区
836,福建省宁德市市辖区
837,福建省平潭综合实验区平潭县
838,福建省泉州市市辖区
839,福建省泉州市泉州台商投资区
840,福建省漳州市市辖区
841,福建省福州市市辖区
842,福建省福州市福州高新区
843,福建省福州市福州高新区管委会
844,福建省福州市长乐市
845,福建省莆田市市辖区
846,福建省莆田市湄洲北岸开发区
847,福建省莆田市湄洲岛
848,福建省龙岩市市辖区
849,西藏自治区山南地区乃东县
850,西藏自治区山南地区加查县
851,西藏自治区山南地区扎囊县
852,西藏自治区山南地区措美县
853,西藏自治区山南地区曲松县
854,西藏自治区山南地区桑日县
855,西藏自治区山南地区洛扎县
856,西藏自治区山南地区浪卡子县
857,西藏自治区山南地区琼结县
858,西藏自治区山南地区贡嘎县
859,西藏自治区山南地区错那县
860,西藏自治区山南地区隆子县
861,西藏自治区拉萨市堆龙德庆县
862,西藏自治区拉萨市市辖区
